"","BAC.Open","BAC.High","BAC.Low","BAC.Close","BAC.Volume","BAC.Adjusted"
"1",53.400002,54.18,52.990002,53.330002,16028200,41.428604
"2",53.330002,53.889999,53.049999,53.669998,13175000,41.692719
"3",53.59,53.59,53.029999,53.240002,10205000,41.358669
"4",53.459999,53.639999,52.799999,53.450001,9685900,41.52182
"5",53.599998,53.709999,52.970001,53.5,12546500,41.56065
"6",53.259998,53.700001,53.16,53.580002,10083900,41.62281
"7",53.5,53.650002,53.18,53.259998,14645200,41.37421
"8",53.240002,53.599998,53.240002,53.380001,13012400,41.467442
"9",53.459999,53.529999,53.310001,53.439999,12006200,41.514042
"10",53.5,53.709999,53.150002,53.32,12746800,41.42083
"11",53.450001,53.549999,53.209999,53.290001,10111100,41.39753
"12",53.459999,53.639999,53.25,53.59,12794000,41.630589
"13",53.639999,54.049999,53.540001,53.650002,15563000,41.677189
"14",53.25,53.52,52.900002,53.32,17367300,41.42083
"15",53.470001,53.48,52.560001,53.200001,25262700,41.327606
"16",53.200001,53.220001,52.34,52.400002,20091400,40.706135
"17",52.52,52.799999,51.720001,52.040001,22715300,40.426483
"18",51.990002,52.25,51.349998,51.459999,22157900,39.975906
"19",51.52,52.130001,51.360001,52.119999,17991300,40.488625
"20",52,52.799999,51.849998,52.580002,19232300,40.845966
"21",52.759998,52.970001,52.650002,52.84,12647800,41.047951
"22",52.830002,53.16,52.73,52.740002,12651800,40.970264
"23",52.740002,53.119999,52.369999,52.880001,11112400,41.079018
"24",52.77,53.330002,52.75,53.209999,13702200,41.335365
"25",53.349998,53.490002,53.25,53.360001,9509500,41.451904
"26",53.349998,53.389999,53,53.32,13669800,41.42083
"27",53.32,53.5,52.66,52.990002,11423700,41.164463
"28",53.200001,53.310001,52.98,53.040001,10685400,41.20332
"29",53.09,53.790001,53.09,53.73,10682100,41.739319
"30",53.759998,54.169998,53.57,54.049999,12189700,41.987923
"31",54.080002,54.209999,53.700001,53.849998,16916400,41.832561
"32",53.639999,54.07,53.599998,54.049999,10815700,41.987923
"33",53.869999,54.169998,53.709999,54.049999,9998000,41.987923
"34",53.75,53.970001,53.709999,53.91,11771600,41.879158
"35",53.849998,54.099998,53.490002,53.700001,10215100,41.716011
"36",53.279999,53.740002,52.779999,52.860001,16807800,41.063488
"37",53.09,53.150002,52.599998,52.790001,16356500,41.009106
"38",52.200001,52.610001,49,50.799999,31633500,39.463203
"39",50.869999,51.5,50.360001,50.830002,27398400,39.926632
"40",50.25,50.900002,49.799999,50.380001,25006600,39.573174
"41",50.099998,50.34,49.82,50.009998,17183400,39.282543
"42",49.599998,50.279999,49.560001,49.639999,18612500,38.991913
"43",50.099998,51.09,50.099998,50.939999,16716600,40.013062
"44",51.029999,51.099998,50.41,50.59,14548500,39.738129
"45",50.880001,51.330002,50.59,50.77,13333900,39.879539
"46",51.150002,51.209999,50.669998,50.950001,10723700,40.020905
"47",50.950001,51.18,50.700001,51.09,10574300,40.130859
"48",51.080002,51.080002,49.259998,49.459999,25463400,38.850517
"49",49.52,49.919998,48.360001,49.77,25008800,39.09404
"50",49.630001,50.82,49.540001,50.099998,19655200,39.353237
"51",50.27,50.470001,49.5,49.619999,21922100,38.976208
"52",49.799999,50.389999,49.349998,50.369999,12994400,39.565327
"53",50.369999,50.830002,50.310001,50.759998,10061800,39.871658
"54",50.779999,52,50.580002,51.860001,21716000,40.73571
"55",51.98,52.150002,51.41,51.639999,20661200,40.562893
"56",51.700001,52,51.41,51.689999,13102700,40.60218
"57",51.700001,51.709999,50.919998,51.560001,13472600,40.500046
"58",51.560001,52,51.349998,51.84,20025700,40.720001
"59",51.439999,51.48,50.5,50.77,19919100,39.879539
"60",51.02,51.25,50.68,51.189999,13947300,40.209412
"61",51.169998,51.41,50.279999,51.02,16151700,40.075886
"62",51.200001,51.25,50.119999,50.43,16943000,39.61245
"63",50.599998,50.889999,50.459999,50.860001,13101600,39.950211
"64",50.939999,51.029999,50.59,50.889999,11108100,39.973774
"65",50.73,50.919998,50.380001,50.849998,10748700,39.942356
"66",50.900002,50.959999,50.52,50.860001,9290300,39.950211
"67",50.939999,51.18,50.810001,51.07,10498700,40.11517
"68",51.07,51.07,50.310001,50.509998,15268300,39.675285
"69",50.52,50.52,50.060001,50.279999,12953900,39.494625
"70",50.439999,50.580002,50.150002,50.419998,12906200,39.604595
"71",50.799999,51.68,50.75,51.23,18774400,40.240833
"72",51.299999,51.5,51.09,51.299999,13395400,40.295818
"73",51.43,52.200001,51.25,51.82,19115500,40.704288
"74",51.34,51.389999,50.73,50.91,25404800,39.989494
"75",51.299999,51.299999,50.330002,51.040001,29384700,40.091595
"76",51.040001,51.290001,50.32,50.509998,22349400,39.675285
"77",50.650002,50.900002,50.25,50.619999,15076800,39.761696
"78",50.84,51.240002,50.5,51.23,16116700,40.240833
"79",51,51.169998,50.650002,50.720001,14693900,39.84024
"80",50.720001,50.849998,50.400002,50.77,15118100,39.879539
"81",50.93,51.220001,50.77,50.900002,19515200,39.981617
"82",51,51.25,50.669998,50.93,14725300,40.005203
"83",51.02,51.189999,50.919998,51.009998,11477800,40.068031
"84",51.220001,51.580002,51.099998,51.23,12718400,40.240833
"85",51.5,51.560001,51.09,51.240002,13558200,40.248711
"86",51.48,51.560001,51.279999,51.419998,11593100,40.390083
"87",51.279999,51.490002,51.09,51.400002,10795300,40.374363
"88",51.32,51.630001,51.189999,51.450001,16584300,40.413658
"89",51.450001,51.470001,50.540001,50.580002,17866500,39.730274
"90",50.82,51.09,50.619999,50.950001,11040500,40.020905
"91",51.029999,51.150002,50.560001,50.779999,16609200,39.887344
"92",50.990002,51.389999,50.919998,50.939999,15653600,40.013062
"93",51.34,51.419998,50.860001,51.119999,18972400,40.154446
"94",51.150002,51.25,50.869999,51.130001,14744800,40.162308
"95",51.32,51.369999,51.110001,51.279999,14634500,40.280113
"96",51.299999,51.349998,51.07,51.23,14297800,40.240833
"97",51.209999,51.619999,51.169998,51.5,16403900,40.45293
"98",51.700001,51.900002,51.330002,51.349998,13478000,40.335102
"99",51.700001,51.740002,50.959999,51.049999,17259600,40.099449
"100",51.200001,51.25,50.790001,51.200001,11556400,40.217289
"101",51.23,51.5,51.16,51.189999,14373200,40.209412
"102",50.650002,51.189999,50.490002,50.810001,16051700,40.35239
"103",50.959999,51.040001,50.470001,50.709999,15938900,40.272964
"104",50.75,50.990002,50.48,50.779999,14293500,40.328545
"105",50.779999,50.919998,50.619999,50.849998,12758700,40.384144
"106",50.779999,50.799999,50.549999,50.66,12630000,40.233253
"107",50.5,50.650002,50.259998,50.330002,14588700,39.971176
"108",50.299999,50.5,49.740002,49.790001,21053100,39.542313
"109",49.919998,50.279999,49.560001,50.259998,18402800,39.915581
"110",50.099998,50.290001,49.810001,50.049999,13209900,39.748798
"111",49.849998,50.099998,49.650002,49.66,16877600,39.439068
"112",50,50.380001,49.75,50.360001,19863000,39.994999
"113",50.360001,50.450001,50,50.080002,17525600,39.772629
"114",50.169998,50.380001,49.990002,50.080002,27194200,39.772629
"115",50.009998,50.139999,49.830002,49.91,13196100,39.637623
"116",50.169998,50.830002,50.150002,50.549999,25301000,40.145889
"117",50.700001,50.799999,49.939999,49.98,21505400,39.693203
"118",50.02,50.130001,49.709999,49.889999,19282200,39.621735
"119",49.84,49.889999,48.950001,48.950001,35893600,38.875202
"120",49.18,49.48,48.66,48.849998,20984900,38.795773
"121",49.150002,49.400002,48.799999,48.799999,21003400,38.756069
"122",48.790001,49.200001,48.549999,49.189999,16095400,39.065807
"123",49.23,49.459999,48.759998,49.09,15200500,38.986393
"124",49.23,49.349998,48.59,48.889999,19179000,38.827549
"125",49.150002,49.349998,48.98,49.32,11098100,39.169048
"126",49.490002,49.700001,49.240002,49.549999,8331400,39.351704
"127",49.040001,49.650002,49.029999,49.369999,12644600,39.208767
"128",49.310001,49.369999,48.849998,49.150002,20671200,39.034035
"129",49,49.169998,48.779999,48.810001,21405600,38.764019
"130",48.599998,48.73,48.27,48.360001,27025200,38.406639
"131",48.369999,49.060001,48.119999,48.509998,24178900,38.525764
"132",48.599998,49.549999,48.509998,49.529999,18427900,39.335823
"133",49.549999,49.82,49.349998,49.5,14025900,39.311993
"134",49.34,49.98,49.34,49.619999,14072800,39.407295
"135",49.73,50.200001,49.700001,49.799999,19572700,39.550259
"136",49.360001,49.779999,48.540001,49.360001,28540200,39.200821
"137",49.57,49.849998,48.900002,49.27,22329300,39.129337
"138",49.259998,49.27,48.099998,48.310001,32525300,38.36692
"139",48.459999,48.599998,48.02,48.150002,24454400,38.239861
"140",47.93,48.139999,47,47.150002,33103600,37.445663
"141",47.450001,48.240002,46.900002,47.93,33727500,38.065136
"142",47.34,47.720001,46.900002,47.23,51484500,37.509209
"143",47.540001,48.209999,47.349998,47.41,37536200,37.652164
"144",47.900002,48.139999,47.450001,47.700001,35877300,37.882465
"145",48.009998,48.41,47.389999,47.419998,33880000,37.660095
"146",47.299999,47.860001,46.889999,47.630001,48411400,37.826885
"147",47.77,48.049999,47.560001,47.779999,37180800,37.946003
"148",47.650002,48.099998,46.970001,47,43493200,37.32655
"149",47.290001,48.279999,46.52,48.16,52233600,38.247791
"150",48.040001,49.34,47.599998,48.669998,46093100,38.652828
"151",48.669998,49.970001,48.560001,49.700001,35709200,39.470829
"152",48.299999,49.200001,47.919998,48.349998,39096900,38.398697
"153",47.75,49.400002,47.75,48.59,32166500,38.589291
"154",49.290001,49.299999,48.400002,48.5,26263700,38.517818
"155",48.599998,48.700001,47.799999,47.860001,26116600,38.009541
"156",47.900002,49.27,47.66,48.23,40894900,38.303394
"157",48.060001,50.330002,47.77,49.849998,69390600,39.589958
"158",51.82,52.779999,50.52,51.759998,63492600,41.106842
"159",51.860001,52.169998,50.470001,51.349998,36334500,40.781231
"160",51,51.959999,50.700001,51.299999,26677700,40.74152
"161",51.779999,51.869999,50.93,51.650002,30700500,41.019497
"162",52.029999,52.080002,51.240002,51.830002,37119400,41.162437
"163",51.880001,51.990002,51.369999,51.869999,18412600,41.194206
