,x1,x2,x3,y
0,53.330002,53.669998,53.240002,53.450001
1,53.669998,53.240002,53.450001,53.5
2,53.240002,53.450001,53.5,53.580002
3,53.450001,53.5,53.580002,53.259998
4,53.5,53.580002,53.259998,53.380001
5,53.580002,53.259998,53.380001,53.439999
6,53.259998,53.380001,53.439999,53.32
7,53.380001,53.439999,53.32,53.290001
8,53.439999,53.32,53.290001,53.59
9,53.32,53.290001,53.59,53.650002
10,53.290001,53.59,53.650002,53.32
11,53.59,53.650002,53.32,53.200001
12,53.650002,53.32,53.200001,52.400002
13,53.32,53.200001,52.400002,52.040001
14,53.200001,52.400002,52.040001,51.459999
15,52.400002,52.040001,51.459999,52.119999
16,52.040001,51.459999,52.119999,52.580002
17,51.459999,52.119999,52.580002,52.84
18,52.119999,52.580002,52.84,52.740002
19,52.580002,52.84,52.740002,52.880001
20,52.84,52.740002,52.880001,53.209999
21,52.740002,52.880001,53.209999,53.360001
22,52.880001,53.209999,53.360001,53.32
23,53.209999,53.360001,53.32,52.990002
24,53.360001,53.32,52.990002,53.040001
25,53.32,52.990002,53.040001,53.73
26,52.990002,53.040001,53.73,54.049999
27,53.040001,53.73,54.049999,53.849998
28,53.73,54.049999,53.849998,54.049999
29,54.049999,53.849998,54.049999,54.049999
30,53.849998,54.049999,54.049999,53.91
31,54.049999,54.049999,53.91,53.700001
32,54.049999,53.91,53.700001,52.860001
33,53.91,53.700001,52.860001,52.790001
34,53.700001,52.860001,52.790001,50.799999
35,52.860001,52.790001,50.799999,50.830002
36,52.790001,50.799999,50.830002,50.380001
37,50.799999,50.830002,50.380001,50.009998
38,50.830002,50.380001,50.009998,49.639999
39,50.380001,50.009998,49.639999,50.939999
40,50.009998,49.639999,50.939999,50.59
41,49.639999,50.939999,50.59,50.77
42,50.939999,50.59,50.77,50.950001
43,50.59,50.77,50.950001,51.09
44,50.77,50.950001,51.09,49.459999
45,50.950001,51.09,49.459999,49.77
46,51.09,49.459999,49.77,50.099998
47,49.459999,49.77,50.099998,49.619999
48,49.77,50.099998,49.619999,50.369999
49,50.099998,49.619999,50.369999,50.759998
50,49.619999,50.369999,50.759998,51.860001
51,50.369999,50.759998,51.860001,51.639999
52,50.759998,51.860001,51.639999,51.689999
53,51.860001,51.639999,51.689999,51.560001
54,51.639999,51.689999,51.560001,51.84
55,51.689999,51.560001,51.84,50.77
56,51.560001,51.84,50.77,51.189999
57,51.84,50.77,51.189999,51.02
58,50.77,51.189999,51.02,50.43
59,51.189999,51.02,50.43,50.860001
60,51.02,50.43,50.860001,50.889999
61,50.43,50.860001,50.889999,50.849998
62,50.860001,50.889999,50.849998,50.860001
63,50.889999,50.849998,50.860001,51.07
64,50.849998,50.860001,51.07,50.509998
65,50.860001,51.07,50.509998,50.279999
66,51.07,50.509998,50.279999,50.419998
67,50.509998,50.279999,50.419998,51.23
68,50.279999,50.419998,51.23,51.299999
69,50.419998,51.23,51.299999,51.82
70,51.23,51.299999,51.82,50.91
71,51.299999,51.82,50.91,51.040001
72,51.82,50.91,51.040001,50.509998
73,50.91,51.040001,50.509998,50.619999
74,51.040001,50.509998,50.619999,51.23
75,50.509998,50.619999,51.23,50.720001
76,50.619999,51.23,50.720001,50.77
77,51.23,50.720001,50.77,50.900002
78,50.720001,50.77,50.900002,50.93
79,50.77,50.900002,50.93,51.009998
80,50.900002,50.93,51.009998,51.23
81,50.93,51.009998,51.23,51.240002
82,51.009998,51.23,51.240002,51.419998
83,51.23,51.240002,51.419998,51.400002
84,51.240002,51.419998,51.400002,51.450001
85,51.419998,51.400002,51.450001,50.580002
86,51.400002,51.450001,50.580002,50.950001
87,51.450001,50.580002,50.950001,50.779999
88,50.580002,50.950001,50.779999,50.939999
89,50.950001,50.779999,50.939999,51.119999
90,50.779999,50.939999,51.119999,51.130001
91,50.939999,51.119999,51.130001,51.279999
92,51.119999,51.130001,51.279999,51.23
93,51.130001,51.279999,51.23,51.5
94,51.279999,51.23,51.5,51.349998
95,51.23,51.5,51.349998,51.049999
96,51.5,51.349998,51.049999,51.200001
97,51.349998,51.049999,51.200001,51.189999
98,51.049999,51.200001,51.189999,50.810001
99,51.200001,51.189999,50.810001,50.709999
100,51.189999,50.810001,50.709999,50.779999
101,50.810001,50.709999,50.779999,50.849998
102,50.709999,50.779999,50.849998,50.66
103,50.779999,50.849998,50.66,50.330002
104,50.849998,50.66,50.330002,49.790001
105,50.66,50.330002,49.790001,50.259998
106,50.330002,49.790001,50.259998,50.049999
107,49.790001,50.259998,50.049999,49.66
108,50.259998,50.049999,49.66,50.360001
109,50.049999,49.66,50.360001,50.080002
110,49.66,50.360001,50.080002,50.080002
111,50.360001,50.080002,50.080002,49.91
112,50.080002,50.080002,49.91,50.549999
113,50.080002,49.91,50.549999,49.98
114,49.91,50.549999,49.98,49.889999
115,50.549999,49.98,49.889999,48.950001
116,49.98,49.889999,48.950001,48.849998
117,49.889999,48.950001,48.849998,48.799999
118,48.950001,48.849998,48.799999,49.189999
119,48.849998,48.799999,49.189999,49.09
120,48.799999,49.189999,49.09,48.889999
121,49.189999,49.09,48.889999,49.32
122,49.09,48.889999,49.32,49.549999
123,48.889999,49.32,49.549999,49.369999
124,49.32,49.549999,49.369999,49.150002
125,49.549999,49.369999,49.150002,48.810001
126,49.369999,49.150002,48.810001,48.360001
127,49.150002,48.810001,48.360001,48.509998
128,48.810001,48.360001,48.509998,49.529999
129,48.360001,48.509998,49.529999,49.5
130,48.509998,49.529999,49.5,49.619999
131,49.529999,49.5,49.619999,49.799999
132,49.5,49.619999,49.799999,49.360001
133,49.619999,49.799999,49.360001,49.27
134,49.799999,49.360001,49.27,48.310001
135,49.360001,49.27,48.310001,48.150002
136,49.27,48.310001,48.150002,47.150002
137,48.310001,48.150002,47.150002,47.93
138,48.150002,47.150002,47.93,47.23
139,47.150002,47.93,47.23,47.41
140,47.93,47.23,47.41,47.700001
141,47.23,47.41,47.700001,47.419998
142,47.41,47.700001,47.419998,47.630001
143,47.700001,47.419998,47.630001,47.779999
144,47.419998,47.630001,47.779999,47
145,47.630001,47.779999,47,48.16
146,47.779999,47,48.16,48.669998
147,47,48.16,48.669998,49.700001
148,48.16,48.669998,49.700001,48.349998
149,48.669998,49.700001,48.349998,48.59
150,49.700001,48.349998,48.59,48.5
151,48.349998,48.59,48.5,47.860001
152,48.59,48.5,47.860001,48.23
153,48.5,47.860001,48.23,49.849998
154,47.860001,48.23,49.849998,51.759998
155,48.23,49.849998,51.759998,51.349998
156,49.849998,51.759998,51.349998,51.299999
157,51.759998,51.349998,51.299999,51.650002
158,51.349998,51.299999,51.650002,51.830002
159,51.299999,51.650002,51.830002,51.869999
160,51.650002,51.830002,51.869999,50.869999
161,51.830002,51.869999,50.869999,49.66
162,51.869999,50.869999,49.66,50.549999
163,50.869999,49.66,50.549999,50.209999
164,49.66,50.549999,50.209999,50.68
165,50.549999,50.209999,50.68,51.080002
166,50.209999,50.68,51.080002,49.950001
167,50.68,51.080002,49.950001,49.790001
168,51.080002,49.950001,49.790001,49.02
169,49.950001,49.790001,49.02,48.959999
170,49.790001,49.02,48.959999,49.450001
171,49.02,48.959999,49.450001,49.389999
172,48.959999,49.450001,49.389999,49.860001
173,49.450001,49.389999,49.860001,49.950001
174,49.389999,49.860001,49.950001,49.509998
175,49.860001,49.950001,49.509998,51.209999
176,49.950001,49.509998,51.209999,51.07
177,49.509998,51.209999,51.07,50.790001
178,51.209999,51.07,50.790001,51.240002
179,51.07,50.790001,51.240002,50.59
